,mmsi,latitude,longitude,speed,heading,course,rot,draught,geo_index,point
5144,224485000,36.72089,-3.5239518,0.0,25.0,321.7,8.0,,2366,POINT(-3.5239518 36.72089)
5146,224485000,36.720932,-3.523935,0.0,25.0,219.0,-7.0,,2366,POINT(-3.523935 36.720932)
5147,224485000,36.72084,-3.5240283,0.0,25.0,219.0,-9.0,,2366,POINT(-3.5240283 36.72084)
5148,224485000,36.720917,-3.5238917,0.0,25.0,228.9,9.0,,2366,POINT(-3.5238917 36.720917)
5149,224485000,36.72084,-3.524005,0.0,25.0,228.9,9.0,,2366,POINT(-3.524005 36.72084)
5150,224485000,36.720795,-3.523935,0.0,25.0,228.9,-7.0,,2366,POINT(-3.523935 36.720795)
5151,224485000,36.72087,-3.524145,0.0,25.0,228.9,9.0,,2366,POINT(-3.524145 36.72087)
5152,224485000,36.72086,-3.5239134,0.0,25.0,316.6,-9.0,,2366,POINT(-3.5239134 36.72086)
5153,224485000,36.7209,-3.5240083,0.0,25.0,239.7,8.0,,2366,POINT(-3.5240083 36.7209)
5154,224485000,36.720924,-3.5238366,0.0,25.0,239.7,7.0,,2366,POINT(-3.5238366 36.720924)
5155,224485000,36.72085,-3.5239484,0.0,25.0,245.7,7.0,,2366,POINT(-3.5239484 36.72085)
